Cycle,Freshman,Party,State,District
2010,Martha Roby,R,AL,2
2010,Mo Brooks,R,AL,5
2010,Terri Sewell,D,AL,7
2010,Rick Crawford,R,AR,1
2010,Tim Griffin,R,AR,2
2010,Steve Womack,R,AR,3
2010,Paul Gosar,R,AZ,1
2010,Ben Quayle,R,AZ,3
2010,David Schweikert,R,AZ,5
2010,Jeff Denham,R,CA,19
2010,Karen Bass,D,CA,33
2010,Scott Tipton,R,CO,3
2010,Cory Gardner,R,CO,4
2010,John Carney,D,DE,0
2010,Steve Southerland,R,FL,2
2010,Rich Nugent,R,FL,5
2010,Daniel Webster,R,FL,8
2010,Dennis A. Ross,R,FL,12
2010,Frederica Wilson,D,FL,17
2010,Allen West,R,FL,22
2010,Sandy Adams,R,FL,24
2010,David Rivera,R,FL,25
2010,Rob Woodall,R,GA,7
2010,Austin Scott,R,GA,8
2010,Colleen Hanabusa,D,HI,1
2010,Raul Labrador,R,ID,1
2010,Joe Walsh,R,IL,8
2010,Robert Dold,R,IL,10
2010,Adam Kinzinger,R,IL,11
2010,Randy Hultgren,R,IL,14
2010,Bobby Schilling,R,IL,17
2010,Todd Rokita,R,IN,4
2010,Larry Bucshon,R,IN,8
2010,Todd Young,R,IN,9
2010,Tim Huelskamp,R,KS,1
2010,Kevin Yoder,R,KS,3
2010,Mike Pompeo,R,KS,4
2010,Cedric Richmond,D,LA,2
2010,Jeff Landry,R,LA,3
2010,Andy Harris,R,MD,1
2010,Bill Keating,D,MA,10
2010,Dan Benishek,R,MI,1
2010,Bill Huizenga,R,MI,2
2010,Justin Amash,R,MI,3
2010,Tim Walberg,R,MI,7
2010,Hansen Clarke,D,MI,13
2010,Chip Cravaack,R,MN,8
2010,Alan Nunnelee,R,MS,1
2010,Steven Palazzo,R,MS,4
2010,Vicky Hartzler,R,MO,4
2010,Billy Long,R,MO,7
2010,Joe Heck,R,NV,3
2010,Frank Guinta,R,NH,1
2010,Charles Bass,R,NH,2
2010,Jon Runyan,R,NJ,3
2010,Steve Pearce,R,NM,2
2010,Michael Grimm,R,NY,13
2010,Nan Hayworth,R,NY,19
2010,Chris Gibson,R,NY,20
2010,Richard Hanna,R,NY,24
2010,Ann Marie Buerkle,R,NY,25
2010,Renee Ellmers,R,NC,2
2010,Rick Berg,R,ND,0
2010,Steve Chabot,R,OH,1
2010,Bill Johnson,R,OH,6
2010,Steve Stivers,R,OH,15
2010,Jim Renacci,R,OH,16
2010,Bob Gibbs,R,OH,18
2010,James Lankford,R,OK,5
2010,Mike Kelly,R,PA,3
2010,Pat Meehan,R,PA,7
2010,Mike Fitzpatrick,R,PA,8
2010,Tom Marino,R,PA,10
2010,Lou Barletta,R,PA,11
2010,David Cicilline,D,RI,1
2010,Tim Scott,R,SC,1
2010,Jeff Duncan,R,SC,3
2010,Trey Gowdy,R,SC,4
2010,Mick Mulvaney,R,SC,5
2010,Kristi Noem,R,SD,0
2010,Chuck Fleischmann,R,TN,3
2010,Scott DesJarlais,R,TN,4
2010,Diane Black,R,TN,6
2010,Stephen Fincher,R,TN,8
2010,Bill Flores,R,TX,17
2010,Quico Canseco,R,TX,23
2010,Blake Farenthold,R,TX,27
2010,Scott Rigell,R,VA,2
2010,Robert Hurt,R,VA,5
2010,Morgan Griffith,R,VA,9
2010,Jaime Herrera Beutler,R,WA,3
2010,David McKinley,R,WV,1
2010,Sean Duffy,R,WI,7
2010,Reid Ribble,R,WI,8
2012,Ann Kirkpatrick,D,AZ,1
2012,Matt Salmon,R,AZ,5
2012,Kyrsten Sinema,D,AZ,9
2012,Tom Cotton,R,AR,4
2012,Doug LaMalfa,R,CA,1
2012,Jared Huffman,D,CA,2
2012,Ami Bera,D,CA,7
2012,Paul Cook,R,CA,8
2012,Eric Swalwell,D,CA,15
2012,David Valadao,R,CA,21
2012,Julia Brownley,D,CA,26
2012,Tony Cardenas,D,CA,29
2012,Gloria Negrete McLeod,D,CA,35
2012,Raul Ruiz,D,CA,36
2012,Mark Takano,D,CA,41
2012,Alan Lowenthal,D,CA,47
2012,Juan Vargas,D,CA,51
2012,Scott Peters,D,CA,52
2012,Elizabeth Esty,D,CT,5
2012,Ted Yoho,R,FL,3
2012,Ron DeSantis,R,FL,6
2012,Alan Grayson,D,FL,9
2012,Patrick Murphy,D,FL,18
2012,Trey Radel,R,FL,19
2012,Lois Frankel,D,FL,22
2012,Joe Garcia,D,FL,26
2012,Doug Collins,R,GA,9
2012,Tulsi Gabbard,D,HI,2
2012,Tammy Duckworth,D,IL,8
2012,Brad Schneider,D,IL,10
2012,Bill Foster,D,IL,11
2012,William Enyart,D,IL,12
2012,Rodney Davis,R,IL,13
2012,Cheri Bustos,D,IL,17
2012,Jackie Walorski,R,IN,2
2012,Susan Brooks,R,IN,5
2012,Luke Messer,R,IN,6
2012,Andy Barr,R,KY,6
2012,John Delaney,D,MD,6
2012,Joseph Kennedy III,D,MA,4
2012,Dan Kildee,D,MI,5
2012,Kerry Bentivolio,R,MI,11
2012,Rick Nolan,D,MN,8
2012,Ann Wagner,R,MO,2
2012,Steve Daines,R,MT,0
2012,Dina Titus,D,NV,1
2012,Steven Horsford,D,NV,4
2012,Carol Shea-Porter,D,NH,1
2012,Ann McLane Kuster,D,NH,2
2012,Michelle Lujan Grisham,D,NM,1
2012,Grace Meng,D,NY,6
2012,Hakeem Jeffries,D,NY,8
2012,Sean Patrick Maloney,D,NY,18
2012,Dan Maffei,D,NY,24
2012,Chris Collins,R,NY,27
2012,Richard Hudson,R,NC,8
2012,Robert Pittenger,R,NC,9
2012,Mark Meadows,R,NC,11
2012,George Holding,R,NC,13
2012,Kevin Cramer,R,ND,0
2012,Brad Wenstrup,R,OH,2
2012,Joyce Beatty,D,OH,3
2012,David Joyce,R,OH,14
2012,Jim Bridenstine,R,OK,1
2012,Markwayne Mullin,R,OK,2
2012,Scott Perry,R,PA,4
2012,Keith Rothfus,R,PA,12
2012,Matt Cartwright,D,PA,17
2012,Tom Rice,R,SC,7
2012,Randy Weber,R,TX,14
2012,Beto O'Rourke,D,TX,16
2012,Joaquin Castro,D,TX,20
2012,Pete Gallego,D,TX,23
2012,Roger Williams,R,TX,25
2012,Marc Veasey,D,TX,33
2012,"Filemon Vela, Jr.",D,TX,34
2012,Steve Stockman,R,TX,36
2012,Chris Stewart,R,UT,2
2012,Derek Kilmer,D,WA,6
2012,Dennis Heck,D,WA,10
2012,Mark Pocan,D,WI,2
2014,Gary Palmer,R,AL,6
2014,Martha McSally,R,AZ,2
2014,Ruben Gallego,D,AZ,7
2014,French Hill,R,AR,2
2014,Bruce Westerman,R,AR,4
2014,Mark DeSaulnier,D,CA,11
2014,Steve Knight,R,CA,25
2014,Pete Aguilar,D,CA,31
2014,Ted Lieu,D,CA,33
2014,Norma Torres,D,CA,35
2014,Mimi Walters,R,CA,45
2014,Ken Buck,R,CO,4
2014,Gwen Graham,D,FL,2
2014,Carlos Curbelo,R,FL,26
2014,Buddy Carter,R,GA,1
2014,Jody Hice,R,GA,10
2014,Barry Loudermilk,R,GA,11
2014,Rick W. Allen,R,GA,12
2014,Mark Takai,D,HI,1
2014,Bob Dold,R,IL,10
2014,Mike Bost,R,IL,12
2014,Rod Blum,R,IA,1
2014,David Young,R,IA,3
2014,Ralph Abraham,R,LA,5
2014,Garret Graves,R,LA,6
2014,Bruce Poliquin,R,ME,2
2014,Seth Moulton,D,MA,6
2014,John Moolenaar,R,MI,4
2014,Mike Bishop,R,MI,8
2014,David Trott,R,MI,11
2014,Debbie Dingell,D,MI,12
2014,Brenda Lawrence,D,MI,14
2014,Tom Emmer,R,MN,6
2014,Ryan Zinke,R,MT,0
2014,Brad Ashford,D,NE,2
2014,Cresent Hardy,R,NV,4
2014,Frank Guinta,R,NH,1
2014,Tom MacArthur,R,NJ,3
2014,Bonnie Watson Coleman,D,NJ,12
2014,Lee Zeldin,R,NY,1
2014,Kathleen Rice,D,NY,4
2014,Elise Stefanik,R,NY,21
2014,John Katko,R,NY,24
2014,Mark Walker,R,NC,6
2014,David Rouzer,R,NC,7
2014,Steve Russell,R,OK,5
2014,Ryan Costello,R,PA,6
2014,Brendan F. Boyle,D,PA,13
2014,John Ratcliffe,R,TX,4
2014,Will Hurd,R,TX,23
2014,Brian Babin,R,TX,36
2014,Mia Love,R,UT,4
2014,Don Beyer,D,VA,8
2014,Barbara Comstock,R,VA,10
2014,Dan Newhouse,R,WA,4
2014,Alex Mooney,R,WV,2
2014,Evan Jenkins,R,WV,3
2014,Glenn Grothman,R,WI,6
2014,Amata Coleman Radewagen,R,AS,0
2014,Stacey Plaskett,D,VI,0
2016,Tom O'Halleran,D,AZ,1
2016,Andy Biggs,R,AZ,5
2016,Ro Khanna,D,CA,17
2016,Jimmy Panetta,D,CA,20
2016,Salud Carbajal,D,CA,24
2016,Nanette Barragan,D,CA,44
2016,Lou Correa,D,CA,46
2016,Lisa Blunt Rochester,D,DE,0
2016,Matt Gaetz,R,FL,1
2016,Neal Dunn,R,FL,2
2016,John Rutherford,R,FL,4
2016,Al Lawson,D,FL,5
2016,Stephanie Murphy,D,FL,7
2016,Darren Soto,D,FL,9
2016,Val Demings,D,FL,10
2016,Charlie Crist,D,FL,13
2016,Brian Mast,R,FL,18
2016,Francis Rooney,R,FL,19
2016,Drew Ferguson,R,GA,3
2016,Raja Krishnamoorthi,D,IL,8
2016,Brad Schneider,D,IL,10
2016,Jim Banks,R,IN,3
2016,Trey Hollingsworth,R,IN,9
2016,Roger Marshall,R,KS,1
2016,Clay Higgins,R,LA,3
2016,Mike Johnson,R,LA,4
2016,Anthony Brown,D,MD,4
2016,Jamie Raskin,D,MD,8
2016,Jack Bergman,R,MI,1
2016,Paul Mitchell,R,MI,10
2016,Jason Lewis,R,MN,2
2016,Don Bacon,R,NE,2
2016,Jacky Rosen,D,NV,3
2016,Ruben Kihuen,D,NV,4
2016,Carol Shea-Porter,D,NH,1
2016,Josh Gottheimer,D,NJ,5
2016,Thomas Suozzi,D,NY,3
2016,Adriano Espaillat,D,NY,13
2016,John Faso,R,NY,19
2016,Claudia Tenney,R,NY,22
2016,Ted Budd,R,NC,13
2016,Brian Fitzpatrick,R,PA,8
2016,Lloyd Smucker,R,PA,16
2016,David Kustoff,R,TN,8
2016,Vicente Gonzalez,D,TX,15
2016,Jodey Arrington,R,TX,19
2016,Scott Taylor,R,VA,2
2016,Donald McEachin,D,VA,4
2016,Tom Garrett,R,VA,5
2016,Pramila Jayapal,D,WA,7
2016,Mike Gallagher,R,WI,8
2016,Liz Cheney,R,WY,0
2016,Jenniffer Gonzalez,R,PR,0
2018,Ann Kirkpatrick,D,AZ,2
2018,Greg Stanton,D,AZ,9
2018,Josh Harder,D,CA,10
2018,TJ Cox,D,CA,21
2018,Katie Hill,D,CA,25
2018,Gil Cisneros,D,CA,39
2018,Katie Porter,D,CA,45
2018,Harley Rouda,D,CA,48
2018,Mike Levin,D,CA,49
2018,Joe Neguse,D,CO,2
2018,Jason Crow,D,CO,6
2018,Jahana Hayes,D,CT,5
2018,Michael Waltz,R,FL,6
2018,Ross Spano,R,FL,15
2018,Greg Steube,R,FL,17
2018,Debbie Mucarsel-Powell,D,FL,26
2018,Donna Shalala,D,FL,27
2018,Lucy McBath,D,GA,6
2018,Ed Case,D,HI,1
2018,Russ Fulcher,R,ID,1
2018,Chuy Garcia,D,IL,4
2018,Sean Casten,D,IL,6
2018,Lauren Underwood,D,IL,14
2018,Jim Baird,R,IN,4
2018,Greg Pence,R,IN,6
2018,Abby Finkenauer,D,IA,1
2018,Cindy Axne,D,IA,3
2018,Steve Watkins,R,KS,2
2018,Sharice Davids,D,KS,3
2018,Jared Golden,D,ME,2
2018,David Trone,D,MD,6
2018,Lori Trahan,D,MA,3
2018,Ayanna Pressley,D,MA,7
2018,Elissa Slotkin,D,MI,8
2018,Andy Levin,D,MI,9
2018,Haley Stevens,D,MI,11
2018,Rashida Tlaib,D,MI,13
2018,Jim Hagedorn,R,MN,1
2018,Angie Craig,D,MN,2
2018,Dean Phillips,D,MN,3
2018,Ilhan Omar,D,MN,5
2018,Pete Stauber,R,MN,8
2018,Michael Guest,R,MS,3
2018,Susie Lee,D,NV,3
2018,Steven Horsford,D,NV,4
2018,Chris Pappas,D,NH,1
2018,Jeff Van Drew,D,NJ,2
2018,Andy Kim,D,NJ,3
2018,Tom Malinowski,D,NJ,7
2018,Mikie Sherrill,D,NJ,11
2018,Deb Haaland,D,NM,1
2018,Xochitl Torres Small,D,NM,2
2018,Max Rose,D,NY,11
2018,Alexandria Ocasio-Cortez,D,NY,14
2018,Antonio Delgado,D,NY,19
2018,Anthony Brindisi,D,NY,22
2018,Kelly Armstrong,R,ND,0
2018,Anthony Gonzalez,R,OH,16
2018,Kendra Horn,D,OK,5
2018,Madeleine Dean,D,PA,4
2018,Chrissy Houlahan,D,PA,6
2018,Dan Meuser,R,PA,9
2018,John Joyce,R,PA,13
2018,Guy Reschenthaler,R,PA,14
2018,Joe Cunningham,D,SC,1
2018,William Timmons,R,SC,4
2018,Dusty Johnson,R,SD,0
2018,Tim Burchett,R,TN,2
2018,John Rose,R,TN,6
2018,Mark Green,R,TN,7
2018,Dan Crenshaw,R,TX,2
2018,Van Taylor,R,TX,3
2018,Lance Gooden,R,TX,5
2018,Ron Wright,R,TX,6
2018,Lizzie Pannill Fletcher,D,TX,7
2018,Veronica Escobar,D,TX,16
2018,Chip Roy,R,TX,21
2018,Sylvia Garcia,D,TX,29
2018,Colin Allred,D,TX,32
2018,Ben McAdams,D,UT,4
2018,Elaine Luria,D,VA,2
2018,Denver Riggleman,R,VA,5
2018,Ben Cline,R,VA,6
2018,Abigail Spanberger,D,VA,7
2018,Jennifer Wexton,D,VA,10
2018,Kim Schrier,D,WA,8
2018,Carol Miller,R,WV,3
2018,Bryan Steil,R,WI,1
2018,Michael San Nicolas,D,GU,0
